puzzle;turn;currtemperature;turntime;currgoalval;currsize;currratio;currcrossings;currlen
3;29;0.7171;0.0588;26.2778;23.2379;0.6111;43;35
3;30;0.7064;0.0926;27.6222;23.2379;0.6278;44;36
3;31;0.7064;0.0657;27.6222;23.2379;0.6278;44;36
3;32;0.7064;0.0598;27.6222;23.2379;0.6278;44;36
3;33;0.7064;0.0566;27.6222;23.2379;0.6278;44;36
3;34;0.7064;0.0821;27.6222;23.2379;0.6278;44;36
3;35;0.7064;0.0764;27.6222;23.2379;0.6278;44;36
3;36;0.7064;0.0457;27.6222;23.2379;0.6278;44;36
3;37;0.7064;0.0813;27.6222;23.2379;0.6278;44;36
3;38;0.7064;0.0664;27.6222;23.2379;0.6278;44;36
4;1;1.0000;0.0101;2.9474;22.2261;0.2105;14;13
4;2;0.9850;0.0124;3.7045;22.2261;0.2470;15;14
4;3;0.9702;0.0137;4.5425;22.2261;0.2672;17;15
4;4;0.9557;0.0151;5.3198;22.2261;0.2955;18;16
4;5;0.9413;0.0154;6.0729;22.2261;0.3036;20;17
4;6;0.9272;0.0157;6.9028;22.2261;0.3138;22;18
4;7;0.9133;0.0192;7.8704;22.2261;0.3279;24;19
4;8;0.8996;0.0212;8.7045;22.2261;0.3482;25;20
4;9;0.8861;0.0249;9.6296;22.6495;0.3704;26;21
4;10;0.8728;0.0178;10.5789;22.6495;0.3918;27;22
4;11;0.8597;0.0284;11.9279;22.6495;0.4113;29;23
4;12;0.8468;0.0248;13.2339;22.6495;0.4269;31;24
4;13;0.8341;0.0251;14.4717;22.6495;0.4522;32;25
4;14;0.8216;0.0341;15.9064;22.6495;0.4678;34;26
4;15;0.8093;0.0409;16.7836;22.6495;0.4795;35;27
4;16;0.7972;0.0249;18.2476;22.6495;0.4932;37;28
4;17;0.7852;0.0405;19.9610;22.6495;0.4990;40;29
4;18;0.7734;0.0383;21.5322;22.6495;0.5127;42;30
4;19;0.7618;0.0441;22.7992;22.6495;0.5302;43;31
4;20;0.7504;0.0470;24.2982;22.6495;0.5400;45;32
4;21;0.7391;0.0374;25.6452;22.6495;0.5575;46;33
4;22;0.7280;0.0473;26.7524;22.6495;0.5692;47;34
4;23;0.7171;0.0499;27.7895;22.6495;0.5789;48;35
4;24;0.7064;0.0463;29.3372;22.6495;0.5867;50;36
4;25;0.6958;0.0497;30.5205;22.6495;0.5984;51;37
4;26;0.6958;0.0470;30.5205;22.6495;0.5984;51;37
4;27;0.6853;0.0399;32.0273;22.6495;0.6043;53;38
4;28;0.6751;0.0447;33.0526;22.6495;0.6121;54;39
4;29;0.6751;0.0459;33.0526;22.6495;0.6121;54;39
4;30;0.6751;0.0519;33.0526;22.6495;0.6121;54;39
4;31;0.6649;0.0421;34.4152;22.6495;0.6257;55;40
4;32;0.6649;0.0694;34.4152;22.6495;0.6257;55;40
4;33;0.6550;0.0442;36.6316;22.6495;0.6316;58;41
4;34;0.6550;0.0478;36.6316;22.6495;0.6316;58;41
4;35;0.6451;0.0565;37.9532;22.6495;0.6433;59;42
4;36;0.6451;0.0526;37.9532;22.6495;0.6433;59;42
4;37;0.6451;0.0389;37.9532;22.6495;0.6433;59;42
4;38;0.6451;0.0569;37.9532;22.6495;0.6433;59;42
4;39;0.6451;0.0426;37.9532;22.6495;0.6433;59;42
4;40;0.6451;0.0472;37.9532;22.6495;0.6433;59;42
4;41;0.6355;0.0471;39.4152;22.6495;0.6569;60;43
4;42;0.6355;0.0630;39.4152;22.6495;0.6569;60;43
4;43;0.6355;0.0417;39.4152;22.6495;0.6569;60;43
4;44;0.6259;0.0477;41.6179;22.6495;0.6823;61;44
4;45;0.6259;0.0798;41.6179;22.6495;0.6823;61;44
4;46;0.6259;0.0865;41.6179;22.6495;0.6823;61;44
4;47;0.6259;0.0754;41.6179;22.6495;0.6823;61;44
4;48;0.6165;0.0543;43.6296;22.6495;0.7037;62;45
4;49;0.6165;0.0576;43.6296;22.6495;0.7037;62;45
4;50;0.6165;0.0638;43.6296;22.6495;0.7037;62;45
4;51;0.6165;0.0889;43.6296;22.6495;0.7037;62;45
4;52;0.6073;0.0608;45.7856;22.6495;0.7154;64;46
4;53;0.6073;0.0637;45.7856;22.6495;0.7154;64;46
4;54;0.6073;0.0675;45.7856;22.6495;0.7154;64;46
4;55;0.6073;0.0934;45.7856;22.6495;0.7154;64;46
4;56;0.6073;0.0804;45.7856;22.6495;0.7154;64;46
4;57;0.6073;0.0709;45.7856;22.6495;0.7154;64;46
4;58;0.5982;0.0535;47.6023;22.6495;0.7212;66;47
4;59;0.5982;0.0676;47.6023;22.6495;0.7212;66;47
4;60;0.5982;0.0796;47.6023;22.6495;0.7212;66;47
4;61;0.5982;0.0682;47.6023;22.6495;0.7212;66;47
4;62;0.5982;0.0636;47.6023;22.6495;0.7212;66;47
4;63;0.5982;0.0744;47.6023;22.6495;0.7212;66;47
4;64;0.5982;0.0875;47.6023;22.6495;0.7212;66;47
4;65;0.5982;0.0752;47.6023;22.6495;0.7212;66;47
4;66;0.5892;0.0729;48.9766;22.6495;0.7310;67;48
4;67;0.5892;0.0461;48.9766;22.6495;0.7310;67;48
4;68;0.5892;0.0556;48.9766;22.6495;0.7310;67;48
4;69;0.5892;0.1206;48.9766;22.6495;0.7310;67;48
4;70;0.5892;0.0977;48.9766;22.6495;0.7310;67;48
