puzzle;turn_amount;sizeX;sizeY;finaltemperature;gentime;finalgoalval;finalsize;finalratio;finalcrossings;finallen
155;44;28;23;0.6073;2.270616699999664;33.3405;26.3818;0.6537;51;44
156;44;25;24;0.6355;2.688589299999876;35.1431;25.4951;0.6631;53;42
157;74;22;20;0.5804;3.538366599997971;44.5507;21.9773;0.7681;58;48
158;59;25;21;0.5717;3.687169900000299;44.6836;23.9165;0.7325;61;49
159;84;26;23;0.5221;4.6934024000001955;46.5432;25.4558;0.7160;65;55
160;41;19;17;0.7064;1.4609309999977995;28.3833;18.9737;0.7278;39;34
161;40;33;22;0.6259;2.3858949999994365;33.5243;27.9643;0.5780;58;42
162;12;33;16;0.9557;0.43559860000095796;4.9118;24.0416;0.2889;17;15
163;45;28;19;0.6073;2.7840190999995684;40.4069;24.0832;0.7483;54;45
164;73;21;19;0.6259;3.4691689999999653;37.8000;20.9762;0.7000;54;43
165;43;20;21;0.6259;2.2010888000004343;33.2662;21.4942;0.7078;47;42
166;65;27;24;0.4915;5.234209799997188;59.3886;26.4575;0.7814;76;58
167;46;23;19;0.6550;3.0753111000012723;36.5229;21.9089;0.7771;47;40
168;46;33;22;0.5892;2.817424899996695;42.8772;27.9643;0.6125;70;47
169;32;33;17;0.7064;1.9284356999996817;23.8137;24.7386;0.5670;42;35
170;95;25;22;0.4841;6.850555100001657;57.1087;24.4540;0.8043;71;60
171;35;33;22;0.6751;1.3530945999991673;24.5627;27.9643;0.5013;49;38
172;96;32;24;0.4162;10.56083099999887;76.0000;28.7228;0.8000;95;69
173;13;20;25;0.9413;0.3137934000005771;5.2546;23.3666;0.2766;19;16
174;68;32;24;0.4489;5.6109574000001885;62.9236;28.7228;0.7491;84;65
175;68;27;18;0.5804;4.215880600000673;45.1372;23.0651;0.7650;59;48
176;65;30;20;0.5546;3.719046200003504;40.6928;25.5147;0.6897;59;51
177;58;26;21;0.5301;3.0893699000007473;49.1111;24.3721;0.7222;68;53
178;86;32;19;0.5221;5.786165900000924;50.1667;25.6905;0.7167;70;55
179;12;33;24;0.9557;0.2208067999999912;3.3882;29.1548;0.2118;16;15
180;14;26;26;0.9272;0.3160796999982267;4.4074;27.0000;0.2593;17;17
181;48;20;19;0.6853;2.3283697000006214;33.1048;20.4939;0.7524;44;37
182;69;25;21;0.5717;5.1574311000003945;45.3234;23.9165;0.7430;61;48
183;86;29;23;0.5301;7.61218149999695;51.1792;26.8328;0.7208;71;54
184;106;31;23;0.3977;10.008762699999352;78.0938;27.7128;0.7969;98;72
185;12;24;25;0.9557;0.24687099999937345;4.4554;25.4951;0.2785;16;15
186;78;22;22;0.5463;4.017549000000145;47.6673;23.0000;0.7448;64;52
187;78;27;23;0.5221;5.19980410000062;50.1875;25.9230;0.7604;66;54
188;47;20;22;0.6550;2.463966799998161;34.0870;21.9773;0.6957;49;40
189;50;33;21;0.6165;3.7249103999965882;33.9398;27.3496;0.6404;53;44
190;52;27;19;0.6259;3.23859850000008;33.5714;23.6643;0.6714;50;42
191;89;31;21;0.5066;7.577550699999847;57.8352;26.5330;0.7415;78;57
192;71;32;22;0.4990;5.274472900000546;50.7945;27.5500;0.7154;71;57
193;81;30;18;0.5381;5.732311800002208;45.3311;24.2693;0.7555;60;53
194;62;26;24;0.5381;3.8588842999997723;45.8578;25.9808;0.6948;66;52
195;84;32;23;0.4355;8.581717400000343;64.2424;28.1425;0.8030;80;66
196;69;33;24;0.5143;6.525029500000528;52.0447;29.1548;0.7129;73;55
197;55;31;20;0.5631;3.7964836999999534;47.9762;25.9230;0.7381;65;50
198;33;23;19;0.7064;1.6610073999981978;29.5312;21.9089;0.6562;45;35
199;57;32;16;0.5804;2.8765157999987423;39.0303;23.6854;0.6970;56;48
