puzzle;turn;currtemperature;turntime;currgoalval;currsize;currratio;currcrossings;currlen
0;50;0.6259;0.0332;33.8640;25.0000;0.6640;51;42
0;51;0.6259;0.0309;33.8640;25.0000;0.6640;51;42
0;52;0.6259;0.0463;33.8640;25.0000;0.6640;51;42
0;53;0.6259;0.0305;33.8640;25.0000;0.6640;51;42
0;54;0.6259;0.0297;33.8640;25.0000;0.6640;51;42
0;55;0.6259;0.0318;33.8640;25.0000;0.6640;51;42
0;56;0.6259;0.0311;33.8640;25.0000;0.6640;51;42
0;57;0.6259;0.0345;33.8640;25.0000;0.6640;51;42
0;58;0.6259;0.0247;33.8640;25.0000;0.6640;51;42
0;59;0.6259;0.0263;33.8640;25.0000;0.6640;51;42
0;60;0.6259;0.0335;33.8640;25.0000;0.6640;51;42
0;61;0.6259;0.0342;33.8640;25.0000;0.6640;51;42
0;62;0.6259;0.0375;33.8640;25.0000;0.6640;51;42
0;63;0.6259;0.0341;33.8640;25.0000;0.6640;51;42
0;64;0.6259;0.0365;33.8640;25.0000;0.6640;51;42
1;1;1.0000;0.0071;3.3275;26.2679;0.2377;14;13
1;2;0.9850;0.0119;4.2899;26.2679;0.2681;16;14
1;3;0.9702;0.0104;4.9522;26.2679;0.2913;17;15
1;4;0.9557;0.0106;5.5565;26.2679;0.3087;18;16
1;5;0.9413;0.0160;6.3333;26.2679;0.3333;19;17
1;6;0.9272;0.0137;6.3333;26.2679;0.3333;19;17
1;7;0.9133;0.0129;7.1304;26.2679;0.3565;20;18
1;8;0.8996;0.0130;7.9435;26.2679;0.3783;21;19
1;9;0.8861;0.0141;8.8667;26.2679;0.3855;23;20
1;10;0.8728;0.0151;9.6696;26.2679;0.4029;24;21
1;11;0.8597;0.0131;10.6638;26.2679;0.4101;26;22
1;12;0.8468;0.0188;11.5043;26.2679;0.4261;27;23
1;13;0.8341;0.0164;12.3362;26.2679;0.4406;28;24
1;14;0.8216;0.0277;13.1130;26.2679;0.4522;29;25
1;15;0.8093;0.0167;14.3478;26.2679;0.4783;30;26
1;16;0.7972;0.0271;15.4551;26.2679;0.4986;31;27
1;17;0.7852;0.0259;16.8348;26.2679;0.5101;33;28
1;18;0.7734;0.0257;17.8377;26.2679;0.5246;34;29
1;19;0.7618;0.0282;18.9710;26.2679;0.5420;35;30
