puzzle;turn_amount;sizeX;sizeY;finaltemperature;gentime;finalgoalval;finalsize;finalratio;finalcrossings;finallen
25;85;26;23;0.5892;2.710835899983067;38.1111;25.4558;0.6806;56;47
26;34;13;25;0.8341;0.5259944000281394;14.8352;19.0788;0.5934;25;24
27;66;16;16;0.8093;1.063411500013899;23.3841;17.0000;0.7543;31;26
28;75;29;18;0.5221;2.1193187999888323;57.9789;23.8747;0.8053;72;54
29;149;26;19;0.5221;3.7956397000234574;55.6111;23.2379;0.7944;70;54
30;102;26;22;0.5381;3.711619600013364;52.4348;24.9199;0.7826;67;52
31;125;29;23;0.4768;3.8886123999836855;51.9681;26.8328;0.7319;71;58
32;189;22;23;0.4915;4.861890100000892;58.9275;23.4947;0.7754;76;59
33;145;29;22;0.4697;5.412928999983706;65.9058;26.2679;0.7754;85;62
34;103;33;15;0.5631;4.104353500006255;49.5404;23.3238;0.7077;70;50
35;25;31;25;0.9413;0.2715043999487534;4.1070;28.8444;0.2416;17;16
36;86;26;24;0.4990;3.1499847000231966;63.6444;25.9808;0.7956;80;58
37;48;31;17;0.5381;1.0825322999735363;53.0521;24.0000;0.8038;66;51
38;26;30;26;0.9272;0.4082780999597162;5.2330;28.9310;0.2616;20;17
39;28;33;23;0.8996;0.3804805999970995;7.0159;28.5657;0.2806;25;19
40;81;26;21;0.5717;2.539100800000597;47.2997;24.3721;0.7391;64;48
41;25;31;25;0.9413;0.2664288000087254;4.2019;28.8444;0.2212;19;16
42;93;23;21;0.5892;2.7870919999550097;43.0739;22.9783;0.7557;57;47
43;102;28;17;0.5301;3.3857318000518717;52.8889;22.8473;0.7778;68;54
44;78;33;22;0.4990;3.341763600008562;53.1253;27.9643;0.7379;72;56
45;42;33;22;0.7280;0.7199800999951549;19.7647;27.9643;0.4706;42;33
46;114;25;20;0.5717;3.3608323000371456;44.4652;23.3666;0.7289;61;48
47;139;24;22;0.5143;3.6451044999994338;50.6261;23.9792;0.7130;71;56
48;51;22;25;0.6355;1.1814192000310868;33.2676;24.4540;0.6789;49;42
49;61;33;23;0.5463;1.8663132999790832;39.7647;28.5657;0.6213;64;51
50;69;22;20;0.6073;1.6385147999972105;40.2484;21.9773;0.7453;54;45
51;129;32;23;0.3801;5.697019100014586;78.0455;28.1425;0.7727;101;74
52;93;32;21;0.5066;3.2231663999846205;48.5455;26.9444;0.7355;66;56
53;113;25;24;0.5301;3.907847499998752;49.9000;25.4951;0.7677;65;52
54;93;30;24;0.4355;3.600779899978079;67.2000;27.8388;0.8000;84;67
55;24;25;25;0.9557;0.24658500001532957;4.2367;26.0000;0.2648;16;15
56;169;27;20;0.5221;6.089943300001323;56.5714;24.2487;0.7857;72;55
57;44;25;25;0.7064;0.9622166999615729;26.1657;26.0000;0.5947;44;35
58;108;33;21;0.4557;4.213574900000822;64.3195;27.3496;0.7393;87;64
59;113;27;23;0.4990;4.610836300009396;54.9405;25.9230;0.7738;71;56
60;186;28;24;0.4290;8.103479300043546;72.7366;26.9258;0.7738;94;68
61;87;31;22;0.4697;3.3259414000203833;59.7867;27.1293;0.7568;79;62
62;121;31;18;0.5221;3.9934297000290826;52.0905;24.6577;0.7549;69;54
63;81;23;21;0.5717;2.0733488999539986;46.9091;22.9783;0.7330;64;49
64;28;22;26;0.8996;0.3756029000505805;6.9082;24.9199;0.3140;22;18
65;96;30;19;0.4990;2.8595746999490075;54.4645;24.8998;0.7565;72;57
66;53;33;17;0.6259;1.2800990999676287;30.6732;24.7386;0.5899;52;43
67;169;27;24;0.4626;7.185152399993967;62.9057;26.4575;0.7671;82;61
68;125;25;21;0.4990;4.346439000044484;57.5245;23.9165;0.7990;72;58
69;97;33;24;0.4697;3.06046680000145;53.8306;29.1548;0.6565;82;60
70;118;29;21;0.4990;4.7034295000485145;60.6864;25.6905;0.7682;79;57
